DummyID,Year,SurveyName,StatArea,NumQuads,NumPycno,PycnoDensity,BottomTime
55,2019,Georgia Basin 2019 Index Sites Survey,16,16,2,0.125,54
56,2019,Georgia Basin 2019 Index Sites Survey,16,16,0,0,47
57,2019,Georgia Basin 2019 Index Sites Survey,16,16,0,0,42
58,2019,Georgia Basin 2019 Index Sites Survey,16,16,1,0.0625,37
59,2019,Georgia Basin 2019 Index Sites Survey,16,16,5,0.3125,39
60,2019,Georgia Basin 2019 Index Sites Survey,16,16,1,0.0625,32
61,2019,Georgia Basin 2019 Index Sites Survey,16,16,4,0.25,52
62,2019,Georgia Basin 2019 Index Sites Survey,16,16,0,0,29
63,2019,Georgia Basin 2019 Index Sites Survey,19,16,0,0,48
64,2019,Georgia Basin 2019 Index Sites Survey,20,16,1,0.0625,47
65,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,62
66,2019,Georgia Basin 2019 Index Sites Survey,20,16,1,0.0625,63
67,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,70
68,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,52
69,2019,Georgia Basin 2019 Index Sites Survey,20,16,1,0.0625,40
70,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,62
71,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,50
72,2019,Georgia Basin 2019 Index Sites Survey,20,16,1,0.0625,48
73,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,50
74,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,54
75,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,34
76,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,46
77,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,65
78,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,53
79,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,60
80,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,54
81,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,68
