"survey_series_id","survey_id","species_code","survey_desc","trip_id","year","fishing_event_id","fe_major_level_id","latitude","longitude","grouping_code","major_stat_area_code","minor_stat_area_code","depth_m","duration_min","doorspread_m","speed_mpm","tow_length_m","catch_weight","density_kgpm2","catch_count","density_pcpm2","skate_count","hook_count","density_ppkm2","survey_series_desc","survey_abbrev","species_common_name","species_science_name","species_desc"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328932,83,53.2965,-131.030666,79,"07","06",67,20,43,76.666682,1500,0.3,4.651162791e-06,1,1.51668321536912e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328933,84,53.310166,-130.921666,81,"07","06",95,20,43,73.333348,1500,0.6,9.302325581e-06,2,3.17124672304452e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328944,95,53.043666,-131.060666,77,"07","02",29,20,43,73.333348,1500,0.6,9.302325581e-06,1,1.58562336152226e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328946,97,52.914666,-131.285833,80,"07","02",84,30,43,76.666682,2200,1.1,1.1627906977e-05,1,1.01112214357941e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886326,19,52.917616,-130.976916,72,"07","02",29,16,58.2,115.000023,1610,0,0,1,9.33811258030816e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886335,28,53.056933,-130.778216,73,"07","06",117,23,69.5,80.000016,1580,0.6,5.463983244e-06,1,7.81982952768252e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886474,167,53.49235,-131.285466,72,"08","01",27,23,50.8,90.000018,1890,4.5,4.6869141357e-05,2,1.90193579063494e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886476,169,53.501916,-131.5972,72,"08","01",21,23,53.2,98.333353,2000,0.59,5.545112782e-06,1,8.31112250042974e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886479,172,53.6851,-131.034666,72,"08","05",42,23,55.7,95.000019,2060,0.16,1.394432727e-06,1,8.21662140676836e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886480,173,53.747866,-131.254233,72,"08","01",43,24,52.1,98.333353,2250,1.02,8.701215611e-06,2,1.62659780734578e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886481,174,53.7912,-131.23985,72,"08","05",40,22,55.9,96.666686,1950,5.35,4.9080317417e-05,2,1.68235900426765e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886482,175,53.841716,-131.364716,72,"08","01",21,24,63.6,95.000019,1930,4.47,3.6416071952e-05,4,2.75846794659616e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886488,181,54.182333,-131.330066,72,"08","04",23,21,47.4,98.333353,2070,3.25,3.312338205e-05,3,3.06494559720489e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886503,196,53.720916,-130.60355,73,"08","05",78,21,62.4,98.333353,1960,1.28,1.0465724751e-05,1,7.76059942882008e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886505,198,53.660183,-130.585516,72,"08","05",42,21,55.2,93.333352,1860,0.12,1.168770453e-06,1,9.24282571724379e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886351,44,53.458933,-131.413616,72,"08","01",25,21,64.4,98.333353,1880,2.4,1.982291529e-05,5,3.75979351209917e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886355,48,53.656016,-131.21745,72,"08","01",31,23,54.7,98.333353,2010,10.6,9.6410088497e-05,4,3.23328495080704e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886358,51,53.7904,-130.977,72,"08","05",62,22,65.4,93.333352,1840,1,8.310065151e-06,1,7.44668026927231e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886364,57,54.03985,-131.2661,72,"08","04",25,23,56.5,105.000021,2160,1.2,9.832841691e-06,3,2.1986473918541e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886365,58,54.059383,-131.2896,72,"08","04",25,22,55.9,98.333353,2010,0,0,1,8.26922222436642e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886367,60,54.046133,-131.083616,72,"08","04",71,22,63.6,93.333352,1750,1,8.984725966e-06,2,1.53148707424657e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886371,64,54.204433,-131.272583,72,"08","04",27,24,52.2,95.000019,1890,1.6,1.6217640739e-05,2,1.68044599045513e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886378,71,54.476083,-131.032866,73,"08","04",109,23,72,95.000019,1890,4.94,3.6302175191e-05,5,3.17823480803471e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886379,72,54.426116,-131.12745,73,"08","04",122,24,73.3,98.333353,1780,1.32,1.0116958168e-05,2,1.15614932827715e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886380,73,54.45345,-131.161516,73,"08","04",122,24,72.3,98.333353,1990,1.93,1.3414235771e-05,2,1.17214032866826e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886381,74,54.4882,-131.225833,73,"08","04",122,24,71.9,98.333353,1920,1.12,8.113120074e-06,1,5.89330638127366e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886384,77,54.572466,-131.285316,73,"08","04",118,23,71.3,98.333353,1810,1.02,7.903729475e-06,1,6.20128635375683e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886403,96,54.242083,-132.648016,74,"08","03",164,23,72.4,93.333352,2040,1.12,7.583143755e-06,1,6.43423226725258e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886422,115,54.469133,-131.24215,73,"08","04",129,22,16.9,98.333353,2030,4.52,0.000131751537587,3,8.20561282264053e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886423,116,54.415516,-131.300883,74,"08","04",213,24,17.8,108.333355,2280,1.37,3.3757145673e-05,1,2.16076015557485e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886424,117,54.394666,-131.340433,74,"08","04",215,23,17.4,105.000021,2030,1.26,3.5671819263e-05,1,2.37976202375013e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886425,118,54.358966,-131.369416,74,"08","04",181,23,17,95.000019,1860,1.41,4.4592030361e-05,1,2.6921518373941e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886427,120,54.34315,-131.260983,73,"08","04",102,23,67.8,105.000021,2130,0,0,1,6.10735386626138e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886428,121,54.309666,-131.37175,73,"08","04",109,23,73.2,116.66669,2260,4.88,2.9498525074e-05,4,2.03645209245503e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886429,122,54.28985,-131.189816,72,"08","04",53,21,64.4,98.333353,1940,2.82,2.2571556637e-05,5,3.75979351209917e-05,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886434,127,53.074316,-130.7932,73,"07","06",120,21,71.4,98.333353,1990,0.29,2.041017412e-06,1,6.78237261006124e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886436,129,53.033566,-131.059916,72,"07","02",32,21,57,93.333352,2020,0.46,3.995136356e-06,1,8.95094701038346e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
3,15,"4XE","2005 Hecate Strait Synoptic",59140,2005,886437,130,53.0009,-131.28345,72,"07","02",32,21,56,95.000019,1930,1.6,1.4803849001e-05,1,8.95094701038346e-06,NA,NA,NA,"Hecate Strait Synoptic Bottom Trawl","SYN HS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
4,16,"4XE","2004 West Coast Vancouver Island Synoptic",54080,2004,481838,49,49.476166,-126.809833,65,"04","25",63,20,64.3,93.333352,1500,0,0,2,1.66629604532333e-05,NA,NA,NA,"West Coast Vancouver Island Synoptic Bottom Trawl","SYN WCVI","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
4,16,"4XE","2004 West Coast Vancouver Island Synoptic",54080,2004,481840,51,49.328333,-126.861833,66,"04","25",130,22,64.3,95.000019,1700,2.5,2.2870734608e-05,1,7.44119446077403e-06,NA,NA,NA,"West Coast Vancouver Island Synoptic Bottom Trawl","SYN WCVI","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
4,16,"4XE","2004 West Coast Vancouver Island Synoptic",54080,2004,481886,97,48.603166,-125.3935,66,"03","23",123,22,64.3,83.33335,1600,3.7,3.5964230171e-05,1,8.4829616852824e-06,NA,NA,NA,"West Coast Vancouver Island Synoptic Bottom Trawl","SYN WCVI","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
4,16,"4XE","2004 West Coast Vancouver Island Synoptic",54080,2004,481861,72,49.900333,-127.38,65,"04","26",61,22,64.3,86.666684,1600,0.4,3.888024883e-06,1,8.15669392815615e-06,NA,NA,NA,"West Coast Vancouver Island Synoptic Bottom Trawl","SYN WCVI","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660809,12,48.813833,-125.616666,131,NA,NA,46,NA,NA,NA,NA,0,NA,1,NA,8,797,25.010247,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660814,17,49.019166,-126.383166,131,NA,NA,134,NA,NA,NA,NA,0,NA,1,NA,8,789,25.263837,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660815,18,49.0195,-126.133333,131,NA,NA,66,NA,NA,NA,NA,0,NA,7,NA,8,794,175.733214,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660816,19,49.481166,-127.149833,131,NA,NA,141,NA,NA,NA,NA,0,NA,1,NA,8,799,24.947643,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660818,21,49.686,-127.399833,131,NA,NA,137,NA,NA,NA,NA,0,NA,1,NA,8,786,25.360263,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660823,26,49.148333,-126.383666,131,NA,NA,77,NA,NA,NA,NA,0,NA,4,NA,8,795,100.292666,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660824,27,49.316666,-126.383333,131,NA,NA,33,NA,NA,NA,NA,0,NA,2,NA,8,802,49.708646,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660825,28,49.352333,-126.633333,131,NA,NA,37,NA,NA,NA,NA,0,NA,12,NA,8,802,298.251881,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660826,29,49.480666,-126.8835,131,NA,NA,80,NA,NA,NA,NA,0,NA,1,NA,8,796,25.041667,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660827,30,49.519833,-126.633333,131,NA,NA,38,NA,NA,NA,NA,0,NA,9,NA,8,794,225.942703,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660830,33,49.9805,-127.666666,131,NA,NA,73,NA,NA,NA,NA,0,NA,1,NA,8,798,24.978906,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660831,34,50.352833,-128.183333,131,NA,NA,154,NA,NA,NA,NA,0,NA,6,NA,8,792,151.008844,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660832,35,50.519,-128.450166,131,NA,NA,177,NA,NA,NA,NA,0,NA,2,NA,8,793,50.272805,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660834,37,51.314,-128.183333,132,NA,NA,57,NA,NA,NA,NA,0,NA,3,NA,8,798,74.936719,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660835,38,51.5195,-128.183333,132,NA,NA,69,NA,NA,NA,NA,0,NA,5,NA,8,798,124.894532,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660836,39,51.352333,-127.916833,132,NA,NA,124,NA,NA,NA,NA,0,NA,2,NA,8,800,49.832918,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660837,40,51.666666,-128.402333,132,NA,NA,130,NA,NA,NA,NA,0,NA,1,NA,8,799,24.947643,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660839,42,51.852833,-128.433333,132,NA,NA,97,NA,NA,NA,NA,0,NA,9,NA,8,798,224.810159,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660841,44,51.999833,-128.730166,132,NA,NA,161,NA,NA,NA,NA,0,NA,2,NA,8,795,50.146333,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660846,49,50.980666,-128.216833,131,NA,NA,75,NA,NA,NA,NA,0,NA,3,NA,8,793,75.409208,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660847,50,50.981333,-127.95,131,NA,NA,27,NA,NA,NA,NA,0,NA,22,NA,8,797,550.225449,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660853,56,51.5,-128.747166,132,NA,NA,42,NA,NA,NA,NA,0,NA,2,NA,8,795,50.146333,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660855,58,51.8525,-128.967,132,NA,NA,80,NA,NA,NA,NA,0,NA,1,NA,8,795,25.073166,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660856,59,51.685833,-128.983333,132,NA,NA,48,NA,NA,NA,NA,0,NA,1,NA,8,791,25.199958,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660857,60,51.685666,-129.25,132,NA,NA,51,NA,NA,NA,NA,0,NA,5,NA,8,800,124.582296,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660861,64,51.685666,-129.516666,132,NA,NA,95,NA,NA,NA,NA,0,NA,3,NA,8,789,75.791511,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660864,67,51.519666,-128.983333,132,NA,NA,48,NA,NA,NA,NA,0,NA,17,NA,8,796,425.708349,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660868,71,51.166666,-128.764833,132,NA,NA,97,NA,NA,NA,NA,0,NA,1,NA,8,795,25.073166,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660869,72,51.0195,-128.7335,132,NA,NA,66,NA,NA,NA,NA,0,NA,2,NA,8,794,50.209489,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
14,67,"4XE","2004 IPHC Longline Survey",NA,2004,660876,79,50.813666,-129.266833,132,NA,NA,113,NA,NA,NA,NA,0,NA,1,NA,8,787,25.328039,"International Pacific Halibut Commission Fishery-Independent Setline Survey","IPHC FISS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
