H_key,Line,species,weight,estimated,num_caught,num_per_kg,SetNum,Year,Month,Day,soak_hrs,MinDepth,MaxDepth,DepthUnit,StatArea,SubArea,GeogLoc,StartLatDeg,StartLatMin,StartLongDeg,StartLongMin,TrapSpacing
12041,2,4XE,,TRUE,4,,67,2011,6,6,14,-2,0,M,7,17,Kakushdish #4,52,8.928999901,128,0.676999986,10
12044,3,4XE,,TRUE,1,,70,2011,6,7,17,-0.5,2,M,8,6,Septimus Point,52,5.84499979,127,50.37900162,10
12064,2,4XE,,TRUE,1,,90,2011,6,11,24,-1,4,M,2,47,Southend Fairfax,52,43.25500107,131,59.74100113,10
12066,3,4XE,,TRUE,2,,92,2011,6,11,24,-2,2,M,2,47,Fairfax Westside Upper,52,45.00699997,132,0.911000013,10
12067,1,4XE,,TRUE,2,,93,2011,6,11,24,-2,-1,M,2,47,Hunger Harbour,52,45.13499832,132,1.42900002,10
15334,1,4TA,1.600000024,TRUE,1,1,7,2013,6,12,24,124,151,M,13,24,Phillips Arm,50,31.82699966,125,21.79400063,0
15335,1,4TA,1.5,TRUE,1,1,8,2013,6,12,24,80,90,M,13,24,Phillips Arm,50,31.69499969,125,22.73600006,0
15338,5,4TA,0.620000005,TRUE,1,2,11,2013,6,12,24,200,200,M,13,24,Phillips Arm,50,29.29800034,125,21.54700089,40
15339,1,4TA,0.200000003,TRUE,1,5,12,2013,6,12,24,200,200,M,13,24,Phillips Arm,50,32.25600052,125,22.10899925,40
15350,2,4TA,1.00999999,TRUE,1,1,11,2013,6,5,25,80,95,M,13,37,Jackson Bay,50,31.29999924,125,49.1230011,40
15374,1,4TA,1.100000024,TRUE,1,1,11,2013,7,25,25,60,68,M,13,24,Phillips Arm,50,29.77400017,125,21.56200027,40
15374,2,4TA,1.419999957,TRUE,1,1,11,2013,7,25,25,60,68,M,13,24,Phillips Arm,50,29.77400017,125,21.56200027,40
15412,1,4TA,1.210000038,TRUE,1,1,1,2013,11,20,24,80,80,M,13,24,Phillips Arm,50,29.26099968,125,22.6079998,0
15414,1,4TA,1.340000033,TRUE,2,1,3,2013,11,20,24,80,80,M,13,24,Phillips Arm,50,29.85099983,125,22.4109993,0
15415,1,4TA,1.200000048,TRUE,4,3,4,2013,11,20,24,70,70,M,13,24,Phillips Arm,50,30.24600029,125,21.58300018,0
15432,1,4TA,0.720000029,TRUE,1,1,9,2013,12,11,23,119,119,M,13,24,Phillips Arm,50,32.29399872,125,21.6060009,0
15434,9,4TA,1.950000048,TRUE,1,1,11,2013,12,11,23,245,245,M,13,24,Phillips Arm,50,29.79500008,125,21.59900093,40
15434,1,4TA,1.700000048,TRUE,1,1,11,2013,12,11,23,245,245,M,13,24,Phillips Arm,50,29.79500008,125,21.59900093,40
15446,4,4TA,1.049999952,TRUE,1,1,11,2014,3,14,25,60,68,M,13,24,Phillips Arm,50,29.77400017,125,21.56200027,0
15448,1,4TA,2.5,TRUE,3,,1,2014,5,5,118,17,17,M,17,16,Nanaimo,49,6.34800005,123,47.68799973,30
15449,1,4XE,1,TRUE,1,,2,2014,5,5,122,20,20,M,17,1,Tricomali Channel,48,52.80799866,123,28.36499977,30
15451,1,4TA,2.5,TRUE,2,,4,2014,5,5,29,11,20,M,19,5,South of James,48,33.68600082,123,19.9640007,30
15453,1,4TA,2.5,TRUE,2,,1,2014,5,6,17,5,6,M,19,5,James South,48,34.34700012,123,19.83799934,30
15454,1,4TA,1,TRUE,3,,2,2014,5,6,18,5,6,M,19,5,James South,48,34.76900101,123,20.31299973,30
15455,1,4TA,2.5,TRUE,3,,3,2014,5,6,50,30,30,M,19,5,North of James,48,38.85200119,123,22.86100006,30
15460,1,4TA,4,TRUE,3,,1,2014,5,11,432,4,10,M,4,12,Horsey Bank,54,9.822999954,130,19.08099937,40
15462,1,4TA,1.75,TRUE,3,,3,2014,5,11,432,30,55,M,4,12,Agnew Bank,54,11.37199974,130,20.29899979,40
15464,1,4TA,5,TRUE,1,,5,2014,5,11,432,7,16,M,4,12,Coast Is,54,12.55599976,130,20.12000084,40
13614,1,4XE,1.799999952,TRUE,4,,1,2013,2,26,168,10,20,M,19,5,Spit,48,38.26900101,123,20.79199982,100
13615,1,4XE,0.400000006,TRUE,2,,2,2013,2,26,18,10,15,M,19,5,Spit,48,38.35400009,123,20.51399994,150
13616,1,4XE,3.799999952,TRUE,7,,3,2013,2,26,20,20,25,M,19,5,James Island,48,37.1609993,123,22.35000038,150
13617,1,4XE,1.700000048,TRUE,3,,4,2013,2,26,23,20,25,M,19,5,Bazan Bay,48,38.05599976,123,23.60199928,150
13619,1,4XE,1.5,TRUE,2,,2,2013,2,27,18,10,15,M,18,3,Harbour,48,50.19400024,123,27.3010006,150
15485,1,4TA,4.25,TRUE,2,,1,2014,6,14,24,4,10,M,4,12,Smith Is,54,12.14099979,130,20.11400032,50
15486,1,4TA,5.5,TRUE,2,,1,2014,6,15,27,3,4,M,4,12,Smith Is,54,11.30200005,130,19.54599953,50
13663,1,4TA,2,TRUE,3,,2,2013,3,6,23,18,21,M,20,7,Basin,48,22.97500038,123,39.51200104,150
13664,1,4TA,1,TRUE,1,,1,2013,3,9,18,15,20,M,24,9,Browning Passage,49,7.855999947,125,51.39799881,150
13665,1,4XE,0.200000003,TRUE,2,,2,2013,3,9,21,15,20,M,24,9,Browning Passage,49,8.293000221,125,51.90399933,200
13666,1,4XE,0.200000003,TRUE,1,,3,2013,3,9,24,15,20,M,24,9,Browning Passage,49,8.562000275,125,52.95800018,200
13668,1,4XE,8.5,TRUE,10,,2,2013,3,13,168,10,15,M,19,5,Spit,48,37.48799896,123,20.22699928,150
13670,2,4TA,0.300000012,TRUE,3,,4,2013,3,13,24,20,25,M,19,5,James Is,48,37.16799927,123,22.45899963,150
13670,3,4XE,3.400000095,TRUE,14,,4,2013,3,13,24,20,25,M,19,5,James Is,48,37.16799927,123,22.45899963,150
13672,1,4TA,2.599999905,TRUE,7,,1,2013,3,15,20,10,15,M,18,3,Ganges Harbour,48,49.98899841,123,26.56900024,150
13675,1,4TA,1.200000048,TRUE,2,,1,2013,3,16,18,5,20,M,17,14,Jack Point,49,9.755999565,123,54.29399872,150
13677,1,4XE,1,TRUE,1,,1,2013,3,22,24,15,20,M,20,7,Basin,48,22.95499992,123,39.39699936,150
13682,1,4TA,1.200000048,TRUE,6,,1,2013,3,25,168,15,20,M,19,5,James Is,48,38.57600021,123,18.43899918,100
13683,1,4TA,2,TRUE,2,,2,2013,3,25,168,15,20,M,19,5,James Is,48,33.88899994,123,21.20199966,100
13684,1,4TA,2.900000095,TRUE,14,,3,2013,3,25,19,5,20,M,19,5,Spit,48,38.90200043,123,20.64699936,100
13685,1,4TA,1.799999952,TRUE,6,,4,2013,3,25,24,10,15,M,19,5,Bazan Bay,48,38.10499954,123,23.85000038,150
13686,1,4TA,5.5,TRUE,7,,5,2013,3,25,24,10,20,M,19,5,Bazan Bay,48,37.33599854,123,24.01399994,150
13690,2,4TA,1,TRUE,3,,4,2013,3,26,17,10,15,M,18,3,Ganges Harbour,48,51.15200043,123,29.17700005,150
13692,1,4TA,2.400000095,TRUE,6,,6,2013,3,26,20,15,20,M,18,3,Ganges Harbour,48,49.80400085,123,26.41500092,150
13693,1,4TA,10.19999981,TRUE,10,,1,2013,3,28,19,15,20,M,17,14,Jack Point,49,9.984999657,123,53.72200012,100
13694,1,4TA,8.100000381,TRUE,7,,2,2013,3,28,19,15,20,M,17,14,Jack Point,49,9.772000313,123,54.26599884,100
13695,1,4TA,0.5,TRUE,1,,3,2013,3,28,19,10,15,M,17,13,Departure Bay,49,12.05799961,123,57.92699814,100
13703,1,4TA,1.600000024,TRUE,6,,2,2013,4,8,168,0,0,M,19,5,James Island,48,32.92100143,123,20.7689991,100
13707,1,4TA,1,TRUE,1,,1,2013,4,9,432,15,20,M,18,3,Harbour,48,49.74700165,123,26.61800003,100
13709,1,4TA,2,TRUE,3,,3,2013,4,9,18,10,15,M,18,3,Harbour,48,50.15499878,123,27.27199936,150
13710,1,4TA,0.200000003,TRUE,1,,4,2013,4,9,432,15,20,M,18,3,Harbour,48,50.26300049,123,27.8390007,100
13711,1,4TA,2,TRUE,2,,5,2013,4,9,21,20,25,M,18,3,Harbour,48,49.29999924,123,25.85899925,150
13714,1,4TA,2.5,TRUE,2,,3,2013,4,11,28,10,20,M,17,14,Jack Point,49,9.770000458,123,54.5909996,150
13715,1,4TA,13,TRUE,7,,4,2013,4,11,30,10,20,M,17,14,Jack Point,49,10.00300026,123,53.72800064,150
13765,3,4XE,0.200000003,TRUE,1,,27,2013,4,14,144,12,12,M,102,1,Site is 3,54,5.092000008,131,27.99099922,
13766,3,4XE,2.299999952,TRUE,7,,28,2013,4,14,144,24,24,M,102,1,Site is 5,53,54.59999847,131,24.47999954,
13767,1,4XE,0.5,TRUE,1,,29,2013,5,6,336,30,30,M,104,3,Site is 4,54,0.578999996,131,6.320000172,
13768,1,4XE,0.219999999,TRUE,2,,30,2013,5,6,336,26,26,M,104,2,Site is 2,54,7.985000134,131,5.775000095,
13779,1,4XE,2,TRUE,2,,1,2013,2,20,,4.800000191,,M,12,26,Dead Point,50,35.38000107,126,34.91400146,40
13780,2,4XE,4.5,TRUE,3,,2,2013,2,20,,2.099999905,39,M,12,26,Beware Cove,50,35.79999924,126,32.70000076,40
13781,1,4XE,3,TRUE,4,,1,2013,2,21,,11,46,M,12,39,Health Bay,50,41.00400162,126,34.74000168,40
13782,1,4XE,10.10000038,TRUE,5,,2,2013,2,21,,27,74,M,12,39,Bare Hill,50,39.97499847,126,37.21300125,40
13783,1,4XE,0.119999997,TRUE,6,,1,2013,3,7,,13,34,M,12,26,Turner Bay,50,35.39799881,126,27.22200012,40
13784,1,4XE,0.07,TRUE,6,,2,2013,3,7,,5,37,M,12,26,Dead Point,50,35.33100128,126,34.9109993,40
13786,2,4TA,4.699999809,TRUE,18,,1,2013,4,26,26,20,30,M,19,5,James Island,48,33.30099869,123,19.85199928,100
13787,1,4TA,2.099999905,TRUE,8,,2,2013,4,26,24,20,30,M,19,5,James Island,48,33.40800095,123,20.63199997,100
13789,1,4TA,0.5,TRUE,4,,4,2013,4,26,24,10,20,M,19,5,Spit,48,37.19599915,123,20.07799911,100
13791,1,4TA,4.900000095,TRUE,17,,6,2013,4,26,23,10,15,M,19,5,Spit,48,38.62400055,123,20.56500053,150
13792,1,4TA,1.100000024,TRUE,2,,7,2013,4,26,24,5,10,M,19,6,Spit,48,38.41699982,123,20.19300079,100
13793,1,4TA,1,TRUE,1,,1,2013,4,27,18,10,15,M,18,3,Harbour,48,50.20600128,123,27.2670002,150
13794,1,4TA,1.100000024,TRUE,5,,2,2013,4,27,23,20,25,M,18,3,Harbour,48,49.19900131,123,25.82500076,150
13795,1,4TA,0.200000003,TRUE,1,,1,2013,4,29,16,10,20,M,17,13,Dept Bay,49,12.08899975,123,57.88600159,150
13796,1,4TA,0.200000003,TRUE,1,,2,2013,4,29,19,10,15,M,17,14,Jack Point,49,9.786000252,123,54.2820015,150
13797,1,4TA,1.100000024,TRUE,2,,3,2013,4,29,21,10,15,M,17,15,Jack Point,49,10.02700043,123,53.74900055,150
13798,1,4TA,0.800000012,TRUE,3,,1,2013,5,2,19,15,25,M,24,9,Inlet,49,8.548000336,125,52.9070015,150
13801,1,4TA,1.5,TRUE,2,,1,2013,5,6,20,16,20,M,20,7,Basin,48,22.97500038,123,39.47100067,150
13802,1,4TA,1,TRUE,1,,2,2013,5,6,72,10,15,M,20,7,Basin,48,23.19300079,123,40.75099945,100
13739,1,4XE,1,TRUE,2,,1,2013,3,1,,20,20,M,104,5,Site is 3,54,7.339000225,131,21.18000031,
