,ID,Survey,Year,Month,Day,HKey,x,y,LonDeep,LatDeep,LonShallow,LatShallow,mean_CorDepthM,mean_bathy,mean_depthdiff,NumQuadrats,PYC
4731,7_3,PAC 2015-52,2015,8,29,7,804332.2321,984074.433,-128.98025,53.82388331,-128.9804333,53.82388331,7.260869565,7.920516968,3.191191964,3,1
5039,8_3,PAC 2015-52,2015,8,29,8,805506.5513,986374.8981,-128.9637833,53.84493332,-128.9637667,53.84521669,12,15.45173073,3.451730728,1,1
5040,8_4,PAC 2015-52,2015,8,29,8,805507.8257,986391.5393,-128.9637833,53.84493332,-128.9637667,53.84521669,1.111111111,0.904466689,1.966501234,3,1
5230,9_1,PAC 2015-52,2015,8,29,9,809789.9485,983066.1745,-128.89605,53.81696669,-128.8953667,53.81708336,10,12.68432808,2.684328079,3,0
5231,9_2,PAC 2015-52,2015,8,29,9,809808.5247,983070.7482,-128.89605,53.81696669,-128.8953667,53.81708336,3.423076923,1.838987708,2.035851827,4,1
5232,9_3,PAC 2015-52,2015,8,29,9,809827.101,983075.3219,-128.89605,53.81696669,-128.8953667,53.81708336,-2.285714286,-3.369999886,1.624285698,2,0
2,10_2,PAC 2015-52,2015,8,30,10,806742.8248,985454.3235,-128.9446,53.83710003,-128.9451333,53.83700002,11,10.90330696,0.096693039,1,0
3,10_3,PAC 2015-52,2015,8,30,10,806725.195,985449.5021,-128.9446,53.83710003,-128.9451333,53.83700002,5.625,5.409963131,1.620848695,3,1
4,10_4,PAC 2015-52,2015,8,30,10,806707.5652,985444.6806,-128.9446,53.83710003,-128.9451333,53.83700002,-0.944444444,-2.066560507,1.766595893,4,1
41,11_1,PAC 2015-52,2015,8,30,11,808538.926,985490.8108,-128.91655,53.8381333,-128.9163167,53.8381333,11,13.23638248,2.236382484,1,0
42,11_2,PAC 2015-52,2015,8,30,11,808555.8709,985490.1123,-128.91655,53.8381333,-128.9163167,53.8381333,6.714285714,6.567883492,1.490302358,2,1
43,11_4,PAC 2015-52,2015,8,30,11,808589.7607,985488.7153,-128.91655,53.8381333,-128.9163167,53.8381333,-0.705882353,-2.06353116,2.041108398,3,1
276,12_3,PAC 2015-52,2015,8,30,12,808318.7825,980515.9791,-128.9172833,53.79350001,-128.9177167,53.79379997,7.769230769,9.067438126,2.338817596,3,1
277,12_4,PAC 2015-52,2015,8,30,12,808307.8146,980530.0022,-128.9172833,53.79350001,-128.9177167,53.79379997,-0.302325581,0.488490283,2.543031946,7,1
822,13_2,PAC 2015-52,2015,8,30,13,810467.7805,982896.7692,-128.8859833,53.81573334,-128.8857334,53.81596667,6.586206897,8.460713387,2.548644855,4,0
823,13_3,PAC 2015-52,2015,8,30,13,810478.0722,982911.7033,-128.8859833,53.81573334,-128.8857334,53.81596667,1.117647059,0.727990925,1.748705349,3,0
824,13_5,PAC 2015-52,2015,8,30,13,810498.6555,982941.5714,-128.8859833,53.81573334,-128.8857334,53.81596667,-2.909090909,-3.369999886,1.033636353,2,0
1306,14_4,PAC 2015-52,2015,8,30,14,813764.1362,987656.8272,-128.8387334,53.85929998,-128.8389667,53.85951665,9.736842105,10.20904446,1.388045612,2,1
1307,14_5,PAC 2015-52,2015,8,30,14,813755.5619,987671.6523,-128.8387334,53.85929998,-128.8389667,53.85951665,-0.739130435,-0.292786419,2.240698604,3,1
1804,15_3,PAC 2015-52,2015,8,30,15,817132.125,989990.3336,-128.789,53.88151665,-128.7893667,53.88141664,13.8,14.97102261,1.194204521,2,1
1805,15_4,PAC 2015-52,2015,8,30,15,817116.6323,989983.8717,-128.789,53.88151665,-128.7893667,53.88141664,7.5,10.47700691,2.977006912,2,1
1806,15_5,PAC 2015-52,2015,8,30,15,817101.1396,989977.4098,-128.789,53.88151665,-128.7893667,53.88141664,-0.4,-3.81473875,3.41473875,2,0
2130,16_2,PAC 2015-52,2015,8,30,16,819049.2186,993092.09,-128.7618167,53.90990003,-128.7619666,53.90984999,11,7.729459763,3.270540237,1,1
2131,16_4,PAC 2015-52,2015,8,30,16,819016.4877,993075.149,-128.7618167,53.90990003,-128.7619666,53.90984999,5,6.479151249,1.479151249,1,1
2174,17_1,PAC 2015-52,2015,8,30,17,821827.1943,995240.2798,-128.721,53.93008334,-128.722,53.92991664,11.75,11.53543377,1.517716885,3,0
2175,17_2,PAC 2015-52,2015,8,30,17,821808.4184,995235.7193,-128.721,53.93008334,-128.722,53.92991664,7.5,7.697081089,0.5,2,0
2176,17_3,PAC 2015-52,2015,8,30,17,821789.6425,995231.1589,-128.721,53.93008334,-128.722,53.92991664,4,4.392782688,0.392782688,1,0
2177,17_4,PAC 2015-52,2015,8,30,17,821770.8666,995226.5984,-128.721,53.93008334,-128.722,53.92991664,1.4,2.167515755,1.100509453,3,0
2178,17_5,PAC 2015-52,2015,8,30,17,821752.0907,995222.0379,-128.721,53.93008334,-128.722,53.92991664,0,-0.521231711,0.521231711,1,0
2226,18_3,PAC 2015-52,2015,8,29,18,789984.4693,960418.8033,-129.18225,53.60651665,-129.1819333,53.60645002,14,15.35766506,1.357665062,1,0
2227,18_4,PAC 2015-52,2015,8,29,18,790000.5333,960412.2628,-129.18225,53.60651665,-129.1819333,53.60645002,7.466666667,7.097937107,2.460137526,4,0
2228,18_5,PAC 2015-52,2015,8,29,18,790016.5973,960405.7222,-129.18225,53.60651665,-129.1819333,53.60645002,1,-1.045119047,2.045119047,1,0
2265,19_2,PAC 2015-52,2015,8,29,19,794515.3026,965443.2061,-129.1169167,53.65320002,-129.1167333,53.65303332,9.166666667,8.518870354,1.28197119,2,0
2266,19_3,PAC 2015-52,2015,8,29,19,794525.0244,965426.699,-129.1169167,53.65320002,-129.1167333,53.65303332,3.565217391,3.382529974,1.505107392,2,0
2267,19_4,PAC 2015-52,2015,8,29,19,794534.7463,965410.192,-129.1169167,53.65320002,-129.1167333,53.65303332,-0.555555556,-3.369999886,2.81444433,2,0
2321,20_1,PAC 2015-52,2015,8,29,20,800049.562,968707.6438,-129.0355833,53.68439999,-129.03565,53.68433336,9,8.546823502,0.453176498,1,0
2322,20_3,PAC 2015-52,2015,8,29,20,800033.1384,968682.3844,-129.0355833,53.68439999,-129.03565,53.68433336,-2.45,-0.256094784,2.193905216,2,1
2323,20_4,PAC 2015-52,2015,8,29,20,800024.9267,968669.7547,-129.0355833,53.68439999,-129.03565,53.68433336,3.764705882,3.104095459,1.569865507,2,1
2391,21_4,PAC 2015-52,2015,8,29,21,805541.9559,970086.6286,-128.9527334,53.69916668,-128.9531,53.69903336,2.2,0.497668535,1.901398879,4,1
2453,22_2,PAC 2015-52,2015,8,30,22,809775.6231,970957.1322,-128.8890167,53.70855001,-128.8881333,53.70891666,10.5,11.16056252,1.052300008,4,0
2454,22_4,PAC 2015-52,2015,8,30,22,809805.1246,970976.1317,-128.8890167,53.70855001,-128.8881333,53.70891666,6.634146341,6.220689297,0.975946252,5,0
2455,22_5,PAC 2015-52,2015,8,30,22,809819.8753,970985.6314,-128.8890167,53.70855001,-128.8881333,53.70891666,2.48,2.010457993,1.59958168,4,1
2456,22_6,PAC 2015-52,2015,8,30,22,809834.6261,970995.1312,-128.8890167,53.70855001,-128.8881333,53.70891666,-5,-2.520724058,2.479275942,1,0
2517,23_3,PAC 2015-52,2015,8,29,23,796934.5632,969106.54,-129.08285,53.68706665,-129.0822833,53.68684998,9.615384615,9.972512245,1.918848038,4,0
2518,23_5,PAC 2015-52,2015,8,29,23,796964.9469,969084.9305,-129.08285,53.68706665,-129.0822833,53.68684998,3.64,3.233653545,0.574577007,3,0
2519,23_6,PAC 2015-52,2015,8,29,23,796980.1387,969074.1257,-129.08285,53.68706665,-129.0822833,53.68684998,-0.666666667,-2.918782711,2.252116044,3,0
2583,24_3,PAC 2015-52,2015,8,29,24,802708.9294,971176.0397,-128.9964666,53.70775,-128.9967333,53.70786667,5.8125,5.115831375,2.283542156,3,0
2643,25_1,PAC 2015-52,2015,8,29,25,808175.2813,972722.437,-128.9141167,53.72368336,-128.9140167,53.72368336,4.066666667,2.792024612,1.274642054,2,0
2644,25_2,PAC 2015-52,2015,8,29,25,808194.8091,972721.6327,-128.9141167,53.72368336,-128.9140167,53.72368336,-0.466666667,-0.243549421,1.182043218,3,1
2645,25_3,PAC 2015-52,2015,8,29,25,808214.337,972720.8284,-128.9141167,53.72368336,-128.9140167,53.72368336,-4,-3.77795887,0.22204113,1,0
2717,26_3,PAC 2015-52,2015,8,29,26,810998.7803,977725.6872,-128.87475,53.76949997,-128.8749667,53.76953335,10,12.98602676,2.986026764,1,0
2718,26_4,PAC 2015-52,2015,8,29,26,810980.5179,977731.2627,-128.87475,53.76949997,-128.8749667,53.76953335,-1.363636364,-2.439066887,2.47230313,2,0
2780,27_4,PAC 2015-52,2015,8,29,27,807006.5734,976118.8743,-128.9348833,53.75373332,-128.9345167,53.75366669,1,0.435608804,2.451632124,4,0
2849,28_3,PAC 2015-52,2015,8,29,28,800733.6021,972421.2734,-129.0273333,53.71818333,-129.0272667,53.71813335,1,-0.865994275,2.495997455,3,1
2890,29_2,PAC 2015-52,2015,8,29,29,810113.5664,974189.5172,-128.8859166,53.73756669,-128.8855167,53.73764998,7.8,8.261384964,1.347723007,2,1
2891,29_4,PAC 2015-52,2015,8,29,29,810151.0801,974201.0669,-128.8859166,53.73756669,-128.8855167,53.73764998,0.5,-0.398415655,2.681098025,4,1
2933,30_3,PAC 2015-52,2015,8,30,30,813367.044,974143.5907,-128.8366166,53.73831666,-128.8373166,53.73805002,10,12.10409164,2.104091644,2,0
2934,30_4,PAC 2015-52,2015,8,30,30,813351.0833,974134.1649,-128.8366166,53.73831666,-128.8373166,53.73805002,4.75,5.290350914,1.217763186,3,0
2935,30_5,PAC 2015-52,2015,8,30,30,813335.1227,974124.7391,-128.8366166,53.73831666,-128.8373166,53.73805002,1,1.646768212,1.548922737,2,0
2936,30_6,PAC 2015-52,2015,8,30,30,813319.162,974115.3133,-128.8366166,53.73831666,-128.8373166,53.73805002,-2.565217391,-3.320225,1.687103261,5,0
3002,31_3,PAC 2015-52,2015,8,30,31,813367.044,974143.5907,-128.8366166,53.73831666,-128.8373166,53.73805002,9,12.10409164,3.104091644,1,0
3003,31_4,PAC 2015-52,2015,8,30,31,813351.0833,974134.1649,-128.8366166,53.73831666,-128.8373166,53.73805002,5,5.290350914,0.290350914,1,0
3004,31_5,PAC 2015-52,2015,8,30,31,813335.1227,974124.7391,-128.8366166,53.73831666,-128.8373166,53.73805002,1,1.646768212,0.646768212,1,0
3005,31_6,PAC 2015-52,2015,8,30,31,813319.162,974115.3133,-128.8366166,53.73831666,-128.8373166,53.73805002,-3.5,-3.320225,1.5,2,0
3067,32_3,PAC 2015-52,2015,8,30,32,804366.1242,977086.6706,-128.9751,53.76136665,-128.9761333,53.76104997,9,9.81492424,0.81492424,1,0
3068,32_6,PAC 2015-52,2015,8,30,32,804312.8732,977061.7654,-128.9751,53.76136665,-128.9761333,53.76104997,-1.142857143,1.270519495,2.413376638,3,0
3069,32_7,PAC 2015-52,2015,8,30,32,804295.1229,977053.4636,-128.9751,53.76136665,-128.9761333,53.76104997,4,2.573915243,1.791303548,3,1
3141,33_3,PAC 2015-52,2015,8,30,33,818088.8795,983494.664,-128.7705333,53.82370001,-128.7704,53.82396666,9,12.68459129,3.684591293,2,0
3142,33_4,PAC 2015-52,2015,8,30,33,818094.3475,983510.8758,-128.7705333,53.82370001,-128.7704,53.82396666,3.64516129,2.794394493,1.568284404,2,1
3143,33_6,PAC 2015-52,2015,8,30,33,818105.2835,983543.2993,-128.7705333,53.82370001,-128.7704,53.82396666,-2.65,-2.696926355,1.35,4,0
3188,34_4,PAC 2015-52,2015,8,30,34,821047.673,988264.0941,-128.7280333,53.8676,-128.7283667,53.86739998,5.962962963,5.7501688,1.638807615,3,1
3241,35_4,PAC 2015-52,2015,8,30,35,823755.8794,985760.8685,-128.6857833,53.84608332,-128.6854834,53.84583333,8.971428571,9.919395447,2.436415972,4,0
3242,35_5,PAC 2015-52,2015,8,30,35,823765.4717,985746.1194,-128.6857833,53.84608332,-128.6854834,53.84583333,-2.363636364,-3.3702631,1.579114827,2,0
3296,36_4,PAC 2015-52,2015,8,30,36,821858.9215,981241.0861,-128.7115833,53.80489998,-128.7119,53.80481669,7.678571429,8.73079586,1.285739013,3,0
3297,36_5,PAC 2015-52,2015,8,30,36,821842.3938,981234.4502,-128.7115833,53.80489998,-128.7119,53.80481669,0.727272727,-0.665813625,3.009816663,4,1
3354,37_2,PAC 2015-52,2015,8,30,37,816547.9518,979321.9813,-128.7913,53.78575001,-128.7907833,53.78561668,11,12.25428867,1.254288673,1,1
3355,37_3,PAC 2015-52,2015,8,30,37,816565.5289,979313.4406,-128.7913,53.78575001,-128.7907833,53.78561668,4.716981132,5.215874195,2.08511546,4,1
3356,37_4,PAC 2015-52,2015,8,30,37,816583.1059,979304.8999,-128.7913,53.78575001,-128.7907833,53.78561668,0.5,-1.247274518,1.747274518,2,0
3357,37_5,PAC 2015-52,2015,8,30,37,816600.683,979296.3592,-128.7913,53.78575001,-128.7907833,53.78561668,-3.818181818,-2.896440744,0.921741074,2,0
3421,38_3,PAC 2015-52,2015,8,30,38,822792.8675,987571.6714,-128.7013166,53.8618,-128.7015333,53.86228333,13.4,17.09907722,3.699077225,2,0
3422,38_4,PAC 2015-52,2015,8,30,38,822788.8554,987589.6507,-128.7013166,53.8618,-128.7015333,53.86228333,6.038461538,4.254954338,2.593486126,5,0
3423,38_6,PAC 2015-52,2015,8,30,38,822780.8311,987625.6093,-128.7013166,53.8618,-128.7015333,53.86228333,-1,-2.765781641,1.765781641,2,0
3475,39_3,PAC 2015-52,2015,8,30,39,825657.8819,997261.9751,-128.6632833,53.94958331,-128.6629,53.94940001,16,20.21985435,4.219854355,1,0
3476,39_5,PAC 2015-52,2015,8,30,39,825684.9655,997238.1539,-128.6632833,53.94958331,-128.6629,53.94940001,11,11.43688202,3,2,0
3477,39_6,PAC 2015-52,2015,8,30,39,825698.5073,997226.2432,-128.6632833,53.94958331,-128.6629,53.94940001,5.083333333,4.205078125,1.882486979,3,1
3478,39_8,PAC 2015-52,2015,8,30,39,825725.5909,997202.4219,-128.6632833,53.94958331,-128.6629,53.94940001,0,-0.976752758,1,2,0
3519,40_2,PAC 2015-52,2015,8,30,40,822099.312,990211.1926,-128.7131667,53.88525003,-128.7125834,53.8853,13.875,14.59232807,1.421164036,3,0
3520,40_3,PAC 2015-52,2015,8,30,40,822116.0023,990212.9759,-128.7131667,53.88525003,-128.7125834,53.8853,7.80952381,7.713825226,1.401470184,3,1
3521,40_5,PAC 2015-52,2015,8,30,40,822149.3829,990216.5426,-128.7131667,53.88525003,-128.7125834,53.8853,1.615384615,1.457239151,1.503289296,2,1
3522,40_6,PAC 2015-52,2015,8,30,40,822166.0732,990218.3259,-128.7131667,53.88525003,-128.7125834,53.8853,-1,-3.020390511,2.020390511,1,0
3548,41_1,PAC 2015-52,2015,8,25,41,726919.8152,928382.4189,-130.10735,53.29083335,-130.1055167,53.29143333,4,4.6746068,0.6746068,1,0
3549,41_10,PAC 2015-52,2015,8,25,41,727075.9356,928456.6887,-130.10735,53.29083335,-130.1055167,53.29143333,3,3.205357552,0.205357552,1,0
3550,41_11,PAC 2015-52,2015,8,25,41,727093.2823,928464.9409,-130.10735,53.29083335,-130.1055167,53.29143333,2,2.046644211,0.046644211,2,0
3551,41_12,PAC 2015-52,2015,8,25,41,727110.629,928473.1931,-130.10735,53.29083335,-130.1055167,53.29143333,1,1.505974531,0.505974531,1,0
3552,41_13,PAC 2015-52,2015,8,25,41,727127.9757,928481.4453,-130.10735,53.29083335,-130.1055167,53.29143333,0,0.325003892,0.325003892,1,0
3553,41_5,PAC 2015-52,2015,8,25,41,726989.202,928415.4277,-130.10735,53.29083335,-130.1055167,53.29143333,8.090909091,7.233111382,0.857797709,3,0
3554,41_7,PAC 2015-52,2015,8,25,41,727023.8954,928431.9321,-130.10735,53.29083335,-130.1055167,53.29143333,6,6.037109375,0.037109375,1,0
3555,41_9,PAC 2015-52,2015,8,25,41,727058.5889,928448.4365,-130.10735,53.29083335,-130.1055167,53.29143333,5,4.755111694,0.244888306,7,0
3583,42_2,PAC 2015-52,2015,8,25,42,726118.5939,932950.8293,-130.1236,53.3312,-130.1231167,53.33131666,2.717948718,-0.36678195,3.084730668,5,0
3584,42_4,PAC 2015-52,2015,8,25,42,726153.7689,932962.7523,-130.1236,53.3312,-130.1231167,53.33131666,-2,-2.271186829,0.271186829,1,0
3615,43_1,PAC 2015-52,2015,8,25,43,723859.5404,934249.2314,-130.1591333,53.34184999,-130.1594,53.34213333,-1.684210526,-3.369999886,1.685789359,2,1
3652,44_10,PAC 2015-52,2015,8,25,44,722533.4475,935440.065,-130.17935,53.35038335,-130.1796333,53.35101668,-4,-3.191186428,0.808813572,1,0
3653,44_2,PAC 2015-52,2015,8,25,44,722563.0576,935294.9165,-130.17935,53.35038335,-130.1796333,53.35101668,8.2,8.526801109,0.516080666,2,0
3654,44_3,PAC 2015-52,2015,8,25,44,722559.3563,935313.0601,-130.17935,53.35038335,-130.1796333,53.35101668,10.21428571,10.01400185,0.222286769,11,0
3655,44_4,PAC 2015-52,2015,8,25,44,722555.655,935331.2036,-130.17935,53.35038335,-130.1796333,53.35101668,5,5.882545471,0.882545471,1,0
3656,44_8,PAC 2015-52,2015,8,25,44,722540.85,935403.7779,-130.17935,53.35038335,-130.1796333,53.35101668,-1,-1.282918334,0.282918334,1,0
3701,45_4,PAC 2015-52,2015,8,25,45,717704.3166,938361.0875,-130.2551167,53.37486668,-130.255,53.37566668,12.15,12.38655758,0.420590305,6,0
3702,45_5,PAC 2015-52,2015,8,25,45,717707.1421,938380.2159,-130.2551167,53.37486668,-130.255,53.37566668,9.7734375,9.674237251,0.849078402,12,0
3703,45_6,PAC 2015-52,2015,8,25,45,717709.9676,938399.3443,-130.2551167,53.37486668,-130.255,53.37566668,5.285714286,5.9599576,1.565708229,2,0
3704,45_7,PAC 2015-52,2015,8,25,45,717712.7931,938418.4727,-130.2551167,53.37486668,-130.255,53.37566668,0,0.774881482,0.774881482,1,0
3705,45_8,PAC 2015-52,2015,8,25,45,717715.6186,938437.6011,-130.2551167,53.37486668,-130.255,53.37566668,-2,-3.202627659,1.202627659,1,0
3740,46_13,PAC 2015-52,2015,8,25,46,713547.8442,940589.5647,-130.32235,53.39214999,-130.3196667,53.39276667,-1,-0.877073407,0.122926593,1,0
3741,46_15,PAC 2015-52,2015,8,25,46,713583.7944,940600.9906,-130.32235,53.39214999,-130.3196667,53.39276667,-2,-1.968307137,0.031692863,3,0
3742,46_3,PAC 2015-52,2015,8,25,46,713368.0932,940532.4354,-130.32235,53.39214999,-130.3196667,53.39276667,15,16.8543911,1.854391098,1,0
3743,46_4,PAC 2015-52,2015,8,25,46,713386.0683,940538.1483,-130.32235,53.39214999,-130.3196667,53.39276667,12.66666667,12.51068878,0.829770406,6,0
3744,46_5,PAC 2015-52,2015,8,25,46,713404.0434,940543.8612,-130.32235,53.39214999,-130.3196667,53.39276667,6.857142857,8.396413803,1.539270946,4,0
3745,46_6,PAC 2015-52,2015,8,25,46,713422.0185,940549.5742,-130.32235,53.39214999,-130.3196667,53.39276667,3,3.322434425,0.322434425,1,0
3746,46_7,PAC 2015-52,2015,8,25,46,713439.9936,940555.2871,-130.32235,53.39214999,-130.3196667,53.39276667,2,1.649118781,0.350881219,3,0
3792,47_1,PAC 2015-52,2015,8,26,47,709268.1421,946747.6809,-130.3894,53.44571667,-130.3883333,53.44636666,6.826086957,5.107998848,2.31200015,11,0
3793,47_2,PAC 2015-52,2015,8,26,47,709281.6254,946759.8995,-130.3894,53.44571667,-130.3883333,53.44636666,2.55,2.411292076,0.508870792,2,0
3794,47_3,PAC 2015-52,2015,8,26,47,709295.1088,946772.1181,-130.3894,53.44571667,-130.3883333,53.44636666,-0.692307692,-1.595055699,1.183094061,2,0
3825,48_11,PAC 2015-52,2015,8,26,48,707688.3071,949534.5134,-130.4181,53.46868334,-130.4146,53.47025,4,3.549111605,0.450888395,2,0
3826,48_12,PAC 2015-52,2015,8,26,48,707704.3977,949545.1414,-130.4181,53.46868334,-130.4146,53.47025,3,2.978899717,0.021100283,2,0
3827,48_13,PAC 2015-52,2015,8,26,48,707720.4884,949555.7694,-130.4181,53.46868334,-130.4146,53.47025,2,2.037567377,0.037567377,4,0
3828,48_15,PAC 2015-52,2015,8,26,48,707752.6697,949577.0254,-130.4181,53.46868334,-130.4146,53.47025,1,1.215416789,0.215416789,2,0
3829,48_17,PAC 2015-52,2015,8,26,48,707784.851,949598.2814,-130.4181,53.46868334,-130.4146,53.47025,-1,-0.748832762,0.251167238,1,0
3830,48_18,PAC 2015-52,2015,8,26,48,707800.9416,949608.9094,-130.4181,53.46868334,-130.4146,53.47025,-2,-1.92765522,0.07234478,1,0
3831,48_2,PAC 2015-52,2015,8,26,48,707543.4912,949438.8615,-130.4181,53.46868334,-130.4146,53.47025,9,9.288736343,0.288736343,2,0
3832,48_3,PAC 2015-52,2015,8,26,48,707559.5819,949449.4895,-130.4181,53.46868334,-130.4146,53.47025,8,7.780107021,0.219892979,2,0
3833,48_6,PAC 2015-52,2015,8,26,48,707607.8538,949481.3735,-130.4181,53.46868334,-130.4146,53.47025,7,7.379235268,0.379235268,1,0
3834,48_8,PAC 2015-52,2015,8,26,48,707640.0351,949502.6295,-130.4181,53.46868334,-130.4146,53.47025,6,6.158906937,0.158906937,2,0
3835,48_9,PAC 2015-52,2015,8,26,48,707656.1258,949513.2575,-130.4181,53.46868334,-130.4146,53.47025,5,4.544407845,0.455592155,1,0
3884,49_1,PAC 2015-52,2015,8,26,49,711843.4137,953799.961,-130.35775,53.50974998,-130.35815,53.50931667,4,4.350242138,0.350242138,1,0
3885,49_2,PAC 2015-52,2015,8,26,49,711833.3509,953783.9962,-130.35775,53.50974998,-130.35815,53.50931667,5,4.542504311,0.457495689,2,0
3886,49_3,PAC 2015-52,2015,8,26,49,711823.2881,953768.0314,-130.35775,53.50974998,-130.35815,53.50931667,2.55,1.840907812,0.709092188,2,0
3887,49_5,PAC 2015-52,2015,8,26,49,711803.1625,953736.1018,-130.35775,53.50974998,-130.35815,53.50931667,-2.333333333,-1.523573041,1.100634204,5,0
3888,49_6,PAC 2015-52,2015,8,26,49,711793.0996,953720.137,-130.35775,53.50974998,-130.35815,53.50931667,0.588235294,1.434786916,0.846551622,2,0
3914,50_10,PAC 2015-52,2015,8,26,50,709870.9012,954704.7042,-130.3870167,53.51588332,-130.3881833,53.51708333,3,1.898092985,1.101907015,1,0
3915,50_11,PAC 2015-52,2015,8,26,50,709862.1501,954722.3258,-130.3870167,53.51588332,-130.3881833,53.51708333,0,1.398858786,1.398858786,1,0
3916,50_3,PAC 2015-52,2015,8,26,50,709932.1584,954581.3531,-130.3870167,53.51588332,-130.3881833,53.51708333,13,12.62605286,0.373947144,3,0
3917,50_6,PAC 2015-52,2015,8,26,50,709905.9053,954634.2178,-130.3870167,53.51588332,-130.3881833,53.51708333,11,11.030303,0.030303001,2,0
3918,50_7,PAC 2015-52,2015,8,26,50,709897.1543,954651.8394,-130.3870167,53.51588332,-130.3881833,53.51708333,9.5,10.73182106,1.23182106,2,0
3919,50_8,PAC 2015-52,2015,8,26,50,709888.4032,954669.461,-130.3870167,53.51588332,-130.3881833,53.51708333,6.272727273,5.855047226,1.194995707,4,0
3948,51_11,PAC 2015-52,2015,8,25,51,706598.3914,953603.1441,-130.4354167,53.50403334,-130.4363333,53.5052,-0.029411765,2.284451723,2.313863488,5,1
3949,51_3,PAC 2015-52,2015,8,25,51,706654.459,953460.0401,-130.4354167,53.50403334,-130.4363333,53.5052,13.85714286,14.06311035,1.009015765,2,0
3950,51_4,PAC 2015-52,2015,8,25,51,706647.4506,953477.9281,-130.4354167,53.50403334,-130.4363333,53.5052,10.14285714,9.401420593,1.085511344,2,0
3951,51_5,PAC 2015-52,2015,8,25,51,706640.4421,953495.8161,-130.4354167,53.50403334,-130.4363333,53.5052,8,6.892131805,1.107868195,1,0
3952,51_6,PAC 2015-52,2015,8,25,51,706633.4337,953513.7041,-130.4354167,53.50403334,-130.4363333,53.5052,5.4,5.572886467,0.514577293,2,1
3953,51_7,PAC 2015-52,2015,8,25,51,706626.4252,953531.5921,-130.4354167,53.50403334,-130.4363333,53.5052,4,4.148394108,0.148394108,2,0
3954,51_9,PAC 2015-52,2015,8,25,51,706612.4083,953567.3681,-130.4354167,53.50403334,-130.4363333,53.5052,3,3.135215044,0.135215044,1,0
3990,52_11,PAC 2015-52,2015,8,24,52,703789.4074,954701.4673,-130.4821667,53.51295001,-130.4781667,53.51401666,9,9.571040154,0.571040154,1,0
